Ue in V,SUe in V,Ua in V,SUa in V,Ia in mA,SIa in V
-12.05,-0.05,10.74,0.06,10.66,0.10
-13.02,-0.06,10.84,0.06,10.77,0.10
-14.03,-0.06,11.68,0.07,10.64,0.10
-14.97,-0.06,11.61,0.07,11.13,0.10
-13.02,-0.06,11.94,0.07,6.15,0.06
-14.97,-0.06,12.31,0.07,6.00,0.06
-12.05,-0.05,11.46,0.07,6.00,0.06
-14.03,-0.06,12.30,0.07,6.04,0.06
-14.03,-0.06,12.97,0.07,1.08,0.02
-14.97,-0.06,12.97,0.07,1.08,0.02
-12.05,-0.05,11.95,0.07,1.01,0.02
-13.02,-0.06,12.00,0.07,1.01,0.02
