Zeit / s	Anzahl Impulse
2,994170E+2	1,900000E+1
3,009230E+2	2,500000E+1
3,024300E+2	1,900000E+1
3,039370E+2	2,600000E+1
3,054440E+2	2,200000E+1
3,069510E+2	2,500000E+1
3,084580E+2	2,800000E+1
3,099640E+2	2,100000E+1
3,114710E+2	1,800000E+1
3,129780E+2	2,500000E+1
3,144850E+2	2,500000E+1
3,159920E+2	2,600000E+1
3,174990E+2	3,100000E+1
3,190050E+2	2,300000E+1
3,205120E+2	2,900000E+1
3,220190E+2	3,000000E+1
3,235260E+2	3,100000E+1
3,250340E+2	2,800000E+1
3,265410E+2	3,600000E+1
3,280480E+2	3,500000E+1
3,295560E+2	2,900000E+1
3,310640E+2	2,700000E+1
3,325720E+2	3,400000E+1
3,340800E+2	1,800000E+1
3,355870E+2	3,100000E+1
3,370940E+2	3,900000E+1
3,386020E+2	2,400000E+1
3,401100E+2	3,200000E+1
3,416180E+2	3,500000E+1
3,431260E+2	2,100000E+1
3,446330E+2	3,500000E+1
3,461410E+2	3,100000E+1
3,476490E+2	2,200000E+1
3,491570E+2	2,600000E+1
3,506650E+2	3,000000E+1
3,521720E+2	2,800000E+1
3,536800E+2	2,400000E+1
3,551880E+2	3,100000E+1
3,566960E+2	3,000000E+1
3,582040E+2	3,100000E+1
3,597120E+2	2,600000E+1
3,612190E+2	2,800000E+1
3,627270E+2	2,300000E+1
3,642350E+2	1,800000E+1
3,657430E+2	1,700000E+1
3,672510E+2	3,100000E+1
3,687580E+2	2,000000E+1
3,702660E+2	3,100000E+1
3,717740E+2	2,700000E+1
3,732820E+2	3,200000E+1
3,747900E+2	2,200000E+1
3,762970E+2	2,500000E+1
3,778050E+2	2,900000E+1
3,793130E+2	2,700000E+1
3,808210E+2	2,700000E+1
3,823290E+2	3,300000E+1
3,838370E+2	2,000000E+1
3,853440E+2	2,100000E+1
3,868520E+2	2,600000E+1
3,883610E+2	3,000000E+1
3,898700E+2	2,500000E+1
3,913780E+2	2,400000E+1
3,928860E+2	2,200000E+1
3,943950E+2	2,500000E+1
3,959040E+2	2,800000E+1
3,974130E+2	3,100000E+1
3,989210E+2	2,500000E+1
4,004300E+2	2,500000E+1
4,019380E+2	3,400000E+1
4,034470E+2	3,800000E+1
4,049560E+2	3,200000E+1
4,064640E+2	2,300000E+1
4,079730E+2	2,500000E+1
4,094820E+2	3,100000E+1
4,109910E+2	3,200000E+1
4,125000E+2	3,100000E+1
4,140080E+2	2,200000E+1
4,155170E+2	1,900000E+1
4,170260E+2	3,200000E+1
4,185350E+2	2,900000E+1
4,200440E+2	3,000000E+1
4,215520E+2	2,200000E+1
4,230610E+2	2,400000E+1
4,245700E+2	2,900000E+1
4,260790E+2	3,000000E+1
4,275870E+2	2,500000E+1
4,290950E+2	2,300000E+1
4,306050E+2	2,400000E+1
4,321140E+2	3,500000E+1
4,336230E+2	3,400000E+1
4,351310E+2	2,900000E+1
4,366400E+2	2,400000E+1
4,381490E+2	2,000000E+1
4,396580E+2	2,900000E+1
4,411670E+2	2,400000E+1
4,426750E+2	2,200000E+1
4,441840E+2	3,000000E+1
4,456940E+2	2,200000E+1
4,472040E+2	3,000000E+1
4,487130E+2	1,800000E+1
4,502230E+2	3,200000E+1
4,517330E+2	3,200000E+1
4,532420E+2	2,400000E+1
4,547520E+2	3,000000E+1
4,562610E+2	3,000000E+1
4,577700E+2	2,400000E+1
4,592800E+2	2,500000E+1
4,607900E+2	2,400000E+1
4,622990E+2	3,200000E+1
4,638090E+2	2,000000E+1
4,653190E+2	2,200000E+1
4,668290E+2	2,100000E+1
4,683380E+2	2,600000E+1
4,698480E+2	2,800000E+1
4,713580E+2	2,900000E+1
4,728680E+2	2,800000E+1
4,743780E+2	3,300000E+1
4,758870E+2	3,000000E+1
4,773970E+2	2,400000E+1
4,789070E+2	2,000000E+1
4,804170E+2	1,900000E+1
4,819260E+2	3,600000E+1
4,834360E+2	2,600000E+1
4,849460E+2	3,000000E+1
4,864560E+2	1,500000E+1
4,879650E+2	2,100000E+1
4,894750E+2	2,300000E+1
4,909850E+2	2,800000E+1
4,924950E+2	2,200000E+1
4,940040E+2	2,400000E+1
4,955140E+2	2,700000E+1
4,970240E+2	2,900000E+1
4,985340E+2	2,500000E+1
5,000440E+2	2,400000E+1
5,015530E+2	2,400000E+1
5,030630E+2	2,600000E+1
5,045730E+2	2,300000E+1
5,060830E+2	2,400000E+1
5,075930E+2	2,200000E+1
5,091040E+2	2,500000E+1
5,106150E+2	3,200000E+1
5,121260E+2	2,900000E+1
5,136360E+2	2,800000E+1
5,151470E+2	2,600000E+1
5,166580E+2	2,800000E+1
5,181690E+2	3,300000E+1
5,196790E+2	2,900000E+1
5,211900E+2	2,900000E+1
5,227000E+2	2,500000E+1
5,242110E+2	3,000000E+1
5,257210E+2	3,800000E+1
5,272320E+2	2,100000E+1
5,287430E+2	2,300000E+1
5,302530E+2	3,200000E+1
5,317630E+2	2,700000E+1
5,332740E+2	2,500000E+1
5,347850E+2	2,000000E+1
5,362950E+2	3,300000E+1
5,378050E+2	2,900000E+1
5,393160E+2	1,900000E+1
5,408270E+2	1,900000E+1
5,423370E+2	2,600000E+1
5,438470E+2	2,300000E+1
5,453580E+2	2,600000E+1
5,468690E+2	2,900000E+1
5,483790E+2	2,800000E+1
5,498900E+2	2,100000E+1
5,514010E+2	2,500000E+1
5,529120E+2	3,100000E+1
5,544220E+2	2,800000E+1
5,559330E+2	2,400000E+1
5,574440E+2	2,900000E+1
5,589550E+2	2,800000E+1
5,604650E+2	3,500000E+1
5,619760E+2	2,700000E+1
5,634870E+2	3,000000E+1
5,649980E+2	2,700000E+1
5,665080E+2	2,300000E+1
5,680200E+2	3,200000E+1
5,695320E+2	1,500000E+1
5,710440E+2	3,900000E+1
5,725550E+2	1,900000E+1
5,740670E+2	2,900000E+1
5,755790E+2	2,500000E+1
5,770900E+2	2,800000E+1
5,786020E+2	2,000000E+1
5,801140E+2	2,800000E+1
5,816260E+2	3,500000E+1
5,831370E+2	2,900000E+1
5,846490E+2	2,600000E+1
5,861610E+2	2,300000E+1
5,876720E+2	3,300000E+1
5,891840E+2	2,400000E+1
5,906960E+2	3,400000E+1
5,922080E+2	2,600000E+1
5,937190E+2	2,200000E+1
5,952310E+2	2,900000E+1
5,967430E+2	2,800000E+1
5,982540E+2	3,200000E+1
5,997660E+2	3,200000E+1
6,012780E+2	3,400000E+1
6,027900E+2	3,300000E+1
6,043020E+2	2,300000E+1
6,058280E+2	2,800000E+1
6,073400E+2	2,500000E+1
6,088520E+2	2,400000E+1
6,103650E+2	3,400000E+1
6,118780E+2	2,000000E+1
6,133890E+2	3,400000E+1
6,149010E+2	1,300000E+1
6,164130E+2	2,700000E+1
6,179240E+2	2,100000E+1
6,194360E+2	2,700000E+1
6,209480E+2	2,100000E+1
6,224600E+2	2,400000E+1
6,239720E+2	3,100000E+1
6,254850E+2	4,000000E+1
6,269980E+2	3,400000E+1
6,285100E+2	2,700000E+1
6,300230E+2	2,200000E+1
6,315360E+2	2,000000E+1
6,330480E+2	2,100000E+1
6,345610E+2	2,600000E+1
6,360740E+2	2,700000E+1
6,375870E+2	2,100000E+1
6,390990E+2	2,800000E+1
6,406120E+2	3,300000E+1
6,421250E+2	2,200000E+1
6,436370E+2	3,200000E+1
6,451500E+2	2,800000E+1
6,466630E+2	2,100000E+1
6,481750E+2	2,500000E+1
6,496880E+2	2,600000E+1
6,512010E+2	3,500000E+1
6,527130E+2	2,700000E+1
6,542260E+2	2,900000E+1
6,557390E+2	4,500000E+1
6,572520E+2	2,400000E+1
6,587640E+2	2,700000E+1
6,602770E+2	2,100000E+1
6,617900E+2	2,500000E+1
6,633020E+2	1,800000E+1
6,648150E+2	2,300000E+1
6,663280E+2	3,300000E+1
6,678400E+2	3,500000E+1
6,693530E+2	2,400000E+1
6,708660E+2	2,900000E+1
6,723780E+2	2,500000E+1
6,738900E+2	2,400000E+1
6,754030E+2	3,200000E+1
6,769160E+2	2,500000E+1
6,784280E+2	2,300000E+1
6,799410E+2	2,700000E+1
6,814540E+2	3,100000E+1
6,829660E+2	2,500000E+1
6,844790E+2	3,400000E+1
6,859920E+2	2,800000E+1
6,875040E+2	3,000000E+1
6,890180E+2	2,500000E+1
6,905320E+2	2,400000E+1
6,920450E+2	2,900000E+1
6,935580E+2	3,600000E+1
6,950720E+2	3,800000E+1
6,965860E+2	2,500000E+1
6,980990E+2	2,300000E+1
6,996130E+2	3,600000E+1
7,011270E+2	2,100000E+1
7,026400E+2	3,000000E+1
7,041540E+2	2,900000E+1
7,056680E+2	2,500000E+1
7,071810E+2	2,300000E+1
7,086950E+2	2,900000E+1
7,102090E+2	1,900000E+1
7,117220E+2	2,700000E+1
7,132360E+2	2,500000E+1
7,147500E+2	2,700000E+1
7,162630E+2	2,800000E+1
7,177770E+2	2,000000E+1
7,192910E+2	3,100000E+1
7,208040E+2	2,500000E+1
7,223180E+2	2,800000E+1
7,238320E+2	2,500000E+1
7,253450E+2	3,100000E+1
7,268590E+2	3,200000E+1
7,283730E+2	3,000000E+1
7,298860E+2	3,500000E+1
7,314000E+2	2,800000E+1
7,329140E+2	2,200000E+1
7,344270E+2	3,100000E+1
7,359410E+2	2,700000E+1
7,374550E+2	2,100000E+1
7,389680E+2	3,100000E+1
7,404820E+2	2,100000E+1
7,419960E+2	3,300000E+1
7,435090E+2	3,100000E+1
7,450230E+2	2,300000E+1
7,465370E+2	2,800000E+1
7,480500E+2	2,600000E+1
7,495640E+2	2,600000E+1
7,510780E+2	2,200000E+1
7,525910E+2	2,200000E+1
7,541050E+2	2,400000E+1
7,556190E+2	3,100000E+1
7,571330E+2	1,900000E+1
7,586470E+2	2,200000E+1
7,601620E+2	2,400000E+1
7,616760E+2	2,200000E+1
7,631900E+2	2,700000E+1
7,647050E+2	1,900000E+1
7,662190E+2	1,800000E+1
7,677340E+2	2,100000E+1
7,692490E+2	2,600000E+1
7,707630E+2	2,200000E+1
7,722780E+2	2,900000E+1
7,737930E+2	3,300000E+1
7,753070E+2	1,900000E+1
7,768220E+2	3,300000E+1
7,783370E+2	2,700000E+1
7,798510E+2	2,000000E+1
7,813660E+2	2,600000E+1
7,828800E+2	2,100000E+1
7,843950E+2	2,600000E+1
7,859100E+2	3,200000E+1
7,874240E+2	2,800000E+1
7,889390E+2	2,500000E+1
7,904540E+2	1,700000E+1
7,919680E+2	2,300000E+1
7,934830E+2	2,600000E+1
7,949980E+2	2,300000E+1
7,965120E+2	2,700000E+1
7,980270E+2	2,500000E+1
7,995430E+2	3,100000E+1
8,010570E+2	2,600000E+1
8,025720E+2	2,000000E+1
8,040870E+2	1,500000E+1
8,056020E+2	3,400000E+1
8,071180E+2	2,900000E+1
