Zeit / s	Anzahl Impulse
5,070000E-1	3,000000E+0
1,027000E+0	5,000000E+0
1,529000E+0	3,000000E+0
2,031000E+0	8,000000E+0
2,534000E+0	4,000000E+0
3,036000E+0	0,000000E+0
3,541000E+0	3,000000E+0
4,044000E+0	1,000000E+1
4,563000E+0	8,000000E+0
5,065000E+0	5,000000E+0
5,567000E+0	2,000000E+0
6,068000E+0	6,000000E+0
6,570000E+0	3,000000E+0
7,074000E+0	5,000000E+0
7,578000E+0	5,000000E+0
8,082000E+0	2,000000E+0
8,609000E+0	5,000000E+0
9,132000E+0	8,000000E+0
9,636000E+0	4,000000E+0
1,013900E+1	8,000000E+0
1,064200E+1	6,000000E+0
1,114500E+1	6,000000E+0
1,164700E+1	3,000000E+0
1,215000E+1	3,000000E+0
1,265200E+1	2,000000E+0
1,315400E+1	6,000000E+0
1,365800E+1	3,000000E+0
1,416200E+1	3,000000E+0
1,466500E+1	7,000000E+0
1,516900E+1	2,000000E+0
1,567300E+1	3,000000E+0
1,617700E+1	7,000000E+0
1,668100E+1	4,000000E+0
1,718500E+1	7,000000E+0
1,768900E+1	4,000000E+0
1,819200E+1	5,000000E+0
1,869400E+1	5,000000E+0
1,919700E+1	6,000000E+0
1,970000E+1	4,000000E+0
2,020300E+1	7,000000E+0
2,070600E+1	2,000000E+0
2,120900E+1	8,000000E+0
2,171200E+1	3,000000E+0
2,221500E+1	4,000000E+0
2,272300E+1	4,000000E+0
2,322700E+1	2,000000E+0
2,373100E+1	3,000000E+0
2,423500E+1	4,000000E+0
2,473800E+1	7,000000E+0
2,524200E+1	2,000000E+0
2,574600E+1	7,000000E+0
2,625000E+1	6,000000E+0
2,675400E+1	1,000000E+0
2,725800E+1	7,000000E+0
2,776200E+1	7,000000E+0
2,826600E+1	3,000000E+0
2,877000E+1	5,000000E+0
2,927400E+1	3,000000E+0
2,977700E+1	4,000000E+0
3,028000E+1	8,000000E+0
3,078400E+1	4,000000E+0
3,128800E+1	4,000000E+0
3,179200E+1	5,000000E+0
3,229700E+1	2,000000E+0
3,280200E+1	4,000000E+0
3,330700E+1	3,000000E+0
3,381200E+1	5,000000E+0
3,431700E+1	6,000000E+0
3,482100E+1	6,000000E+0
3,532500E+1	4,000000E+0
3,583000E+1	4,000000E+0
