f in Hz*10**3,*2 * Ua0 in div,*divstk. In V,Ua0 in V,Sua0 in V,*2 * Uc0 in div,*disvstk. In V,Uc0 in V,SUc0 in V,*dt in div,*divsk. In us,dt in us,Sdt in us,*v
150.00,4.10,1.00,2.05,0.06,5.70,10.00,28.50,0.70,3.90,0.50,1.95,0.04,13.90
151.00,4.30,1.00,2.15,0.06,5.60,10.00,28.00,0.70,4.20,0.50,2.10,0.04,13.02
152.00,4.50,1.00,2.25,0.06,5.40,10.00,27.00,0.68,4.20,0.50,2.10,0.04,12.00
153.00,4.70,1.00,2.35,0.06,5.30,10.00,26.50,0.68,4.60,0.50,2.30,0.05,11.28
149.00,4.10,1.00,2.05,0.06,5.80,10.00,29.00,0.71,3.50,0.50,1.75,0.04,14.15
148.00,4.10,1.00,2.05,0.06,5.90,10.00,29.50,0.71,3.20,0.50,1.60,0.04,14.39
147.00,4.20,1.00,2.10,0.06,5.80,10.00,29.00,0.71,2.80,0.50,1.40,0.03,13.81
146.00,4.40,1.00,2.20,0.06,5.70,10.00,28.50,0.70,2.40,0.50,1.20,0.03,12.95
140.00,5.90,1.00,2.95,0.07,4.50,10.00,22.50,0.63,5.50,0.10,0.55,0.01,7.63
160.00,3.00,2.00,3.00,0.11,3.70,10.00,18.50,0.59,5.30,0.50,2.65,0.05,6.17
170.00,6.90,1.00,3.45,0.08,4.70,5.00,11.75,0.32,5.40,0.50,2.70,0.05,3.41
200.00,3.50,2.00,3.50,0.12,4.70,2.00,4.70,0.13,4.80,0.50,2.40,0.05,1.34
300.00,3.60,2.00,3.60,0.12,4.90,0.50,1.23,0.03,8.30,0.20,1.66,0.03,0.34
130.00,3.40,2.00,3.40,0.12,5.50,5.00,13.75,0.35,2.50,0.10,0.25,0.01,4.04
120.00,3.50,2.00,3.50,0.12,6.50,3.00,9.75,0.23,2.20,0.10,0.22,0.01,2.79
50.00,3.60,2.00,3.60,0.12,4.10,2.00,4.10,0.12,0.25,0.10,0.03,0.01,1.14
10.00,3.60,2.00,3.60,0.12,3.70,2.00,3.70,0.12,0.30,0.10,0.03,0.01,1.03
1.00,3.70,2.00,3.70,0.12,3.70,2.00,3.70,0.12,0.00,0.10,0.00,0.01,1.00
155.00,5.20,1.00,2.60,0.07,4.70,10.00,23.50,0.64,5.00,0.50,2.50,0.05,9.04
148.50,4.10,1.00,2.05,0.06,5.80,10.00,29.00,0.71,3.40,0.50,1.70,0.04,14.15
