f in Hz*10**3,*2 * Ua0 in div,*divstk. In V,Ua0 in V,Sua0 in V,*2 * Uc0 in div,*disvstk. In V,Uc0 in V,SUc0 in V,*dt in div,*divsk. In us,dt in us,Sdt in us,*v
150.00,6.20,1.00,3.10,0.07,4.10,5.00,10.25,0.31,3.30,0.50,1.65,0.04,3.31
152.00,6.20,1.00,3.10,0.07,4.10,5.00,10.25,0.31,3.40,0.50,1.70,0.04,3.31
154.00,6.20,1.00,3.10,0.07,4.00,5.00,10.00,0.30,3.50,0.50,1.75,0.04,3.23
158.00,6.30,1.00,3.15,0.07,3.80,5.00,9.50,0.30,3.80,0.50,1.90,0.04,3.02
165.00,6.50,1.00,3.25,0.08,3.40,5.00,8.50,0.29,4.00,0.50,2.00,0.04,2.62
175.00,6.70,1.00,3.35,0.08,6.90,2.00,6.90,0.16,4.20,0.50,2.10,0.04,2.06
200.00,3.50,2.00,3.50,0.12,4.20,2.00,4.20,0.12,4.20,0.50,2.10,0.04,1.20
300.00,3.60,2.00,3.60,0.12,4.90,0.50,1.23,0.03,7.90,0.20,1.58,0.03,0.34
148.00,6.30,1.00,3.15,0.07,4.20,5.00,10.50,0.31,7.80,0.20,1.56,0.03,3.33
149.00,6.20,1.00,3.10,0.07,4.10,5.00,10.25,0.31,8.00,0.20,1.60,0.03,3.31
147.00,6.30,1.00,3.15,0.07,4.10,5.00,10.25,0.31,7.70,0.20,1.54,0.03,3.25
146.00,6.30,1.00,3.15,0.07,4.20,5.00,10.50,0.31,7.50,0.20,1.50,0.03,3.33
145.00,6.30,1.00,3.15,0.07,4.20,5.00,10.50,0.31,7.30,0.20,1.46,0.03,3.33
140.00,6.40,1.00,3.20,0.07,4.10,5.00,10.25,0.31,6.40,0.20,1.28,0.02,3.20
130.00,6.70,1.00,3.35,0.08,3.70,5.00,9.25,0.30,4.90,0.20,0.98,0.02,2.76
100.00,3.60,2.00,3.60,0.12,6.10,2.00,6.10,0.15,5.50,0.10,0.55,0.01,1.69
50.00,3.60,2.00,3.60,0.12,4.10,2.00,4.10,0.12,3.40,0.10,0.34,0.01,1.14
10.00,3.70,2.00,3.70,0.12,3.70,2.00,3.70,0.12,3.20,0.10,0.32,0.01,1.00
151.00,6.20,1.00,3.10,0.07,4.10,5.00,10.25,0.31,8.40,0.20,1.68,0.03,3.31
