R in ohm,Ieff1 in A,Ueff1 in V,Ieff2 in A,Ueff2 in V,P in W,SR in ohm,SIeff1 in A,SUeff1 in V,SIeff2 in A,SUeff2 in V,SP in W
3.000,1.134,11.500,1.451,5.400,12.330,0.000,0.006,0.047,0.027,0.046,0.072
4.000,0.972,11.570,1.255,5.910,10.880,,0.005,0.047,0.024,0.050,0.064
5.000,0.857,11.630,1.104,6.320,9.740,,0.004,0.048,0.021,0.054,0.059
6.000,0.768,11.700,0.987,6.640,8.820,,0.004,0.048,0.019,0.056,0.054
8.000,0.640,11.800,0.817,7.100,7.450,,0.004,0.048,0.016,0.060,0.047
10.000,0.547,11.840,0.693,7.410,6.410,,0.003,0.048,0.013,0.062,0.042
14.000,0.429,12.100,0.538,7.940,5.160,,0.003,0.049,0.011,0.067,0.036
21.000,0.312,12.200,0.383,8.340,3.790,,0.002,0.050,0.008,0.070,0.029
23.000,0.290,12.220,0.354,8.410,3.530,,0.002,0.050,0.007,0.070,0.028
25.000,0.271,12.240,0.329,8.490,3.310,,0.002,0.050,0.007,0.071,0.027
27.000,0.255,12.250,0.307,8.540,3.110,,0.002,0.050,0.007,0.071,0.026
29.000,0.241,12.270,0.288,8.600,2.950,,0.002,0.050,0.006,0.072,0.025
31.000,0.227,12.260,0.271,8.620,2.790,,0.002,0.050,0.006,0.072,0.024
34.000,0.211,12.280,0.249,8.690,2.590,,0.002,0.050,0.005,0.073,0.023
37.000,0.197,12.290,0.230,8.740,2.420,,0.002,0.050,0.005,0.073,0.022
41.000,0.181,12.300,0.209,8.780,2.220,,0.002,0.050,0.005,0.073,0.021
45.000,0.168,12.320,0.192,8.830,2.030,,0.001,0.050,0.004,0.074,0.011
51.000,0.152,12.300,0.170,8.850,1.825,,0.001,0.050,0.004,0.074,0.010
58.000,0.137,12.300,0.151,8.910,1.648,,0.001,0.050,0.004,0.074,0.009
68.000,0.122,12.330,0.130,8.960,1.453,,0.001,0.050,0.003,0.075,0.008
503.000,0.044,12.400,0.018,9.230,0.413,,0.001,0.051,0.001,0.077,0.003
