e_ in cm,b__ in cm,B in mm,B_orginal in mm,Sb__ in cm,Se_ in cm,SB in mm,SB_orginal in mm
106,22.7,79.5,13.5,0.5,0.2,1,0.5
98,23,70,13.5,,,,
84,23.5,54,13.5,,,,
73,24.8,39.5,13.5,,,,
63,26.9,26,13.5,,,,
