e_ in cm,g_ in cm,Sg_ in cm,Se_ in cm
42.6,24.1,0.8,0.2
48,35.4,0.8,
48,21.6,0.6,
56,20.2,0.3,
56,44.5,0.5,
51,20.8,0.5,
51,38.3,0.4,
